timepoint,colony.id,frag.id,treatment,colormorph,sym.density,,,,,,,,,,,,,,,,,,,
07/28/17,O9,95,deep,orange,9280937.3611,,,,,,,,,,,,,,,,,,,
07/28/17,O9,281,shallow,orange,2486292.1932,,,,,,,,,,,,,,,,,,,
07/28/17,O9,53,shade,orange,2035409.2371,,,,,,,,,,,,,,,,,,,
07/28/17,O10,855,control,orange,5107109.0139,,,,,,,,,,,,,,,,,,,
07/28/17,O10,153,deep,orange,12620892.4312,,,,,,,,,,,,,,,,,,,
07/28/17,O10,136,shallow,orange,2225224.3268,,,,,,,,,,,,,,,,,,,
07/28/17,O10,287,shade,orange,9965539.4956,,,,,,,,,,,,,,,,,,,
07/28/17,O11,93,control,orange,876461.1469,,,,,,,,,,,,,,,,,,,
07/28/17,O11,720,deep,orange,5076627.0830,,,,,,,,,,,,,,,,,,,
07/28/17,O11,101,shallow,orange,1267572.9741,,,,,,,,,,,,,,,,,,,
07/28/17,O11,101.1,shade,orange,1112497.7876,,,,,,,,,,,,,,,,,,,
07/28/17,O12,194,control,orange,90928.6118,,,,,,,,,,,,,,,,,,,
07/28/17,O12,162,deep,orange,13075833.9866,,,,,,,,,,,,,,,,,,,
07/28/17,O12,164,shallow,orange,930070.6405,,,,,,,,,,,,,,,,,,,
07/28/17,O12,215,shade,orange,1413148.2028,,,,,,,,,,,,,,,,,,,
07/28/17,O13,14,control,orange,1896700.4850,,,,,,,,,,,,,,,,,,,
07/28/17,O13,196,deep,orange,9857359.9050,,,,,,,,,,,,,,,,,,,
07/28/17,O13,154,shallow,orange,2309486.2466,,,,,,,,,,,,,,,,,,,
07/28/17,O13,202,shade,orange,3127624.9664,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
