timepoint,colony_id,frag_id,treatment,colormorph,protein_density
07/07/17,B1,174,Shallow,Red,123.166092
07/07/17,B1,174,Shallow,Red,120.233838
07/07/17,B1,144,Shade,Red,267.37284
07/07/17,B1,144,Shade,Red,296.845752
07/07/17,B1,144,Shade,Red,300.755424
07/07/17,B2,165,Control,Red,240.155508
07/07/17,B2,165,Control,Red,252.749163
07/07/17,B2,165,Control,Red,249.967281
07/07/17,B2,456,Deep,Red,191.247015
07/07/17,B2,456,Deep,Red,200.983602
07/07/17,B2,456,Deep,Red,220.569555
07/07/17,B2,170,Shallow,Red,197.788197
07/07/17,B2,170,Shallow,Red,207.111261
07/07/17,B2,170,Shallow,Red,212.261502
07/07/17,B2,183,Shade,Red,250.343211
07/07/17,B2,183,Shade,Red,283.1619
07/07/17,B2,183,Shade,Red,262.936866
07/07/17,B3,182,Control,Red,599.9994
07/07/17,B3,182,Control,Red,547.33558
07/07/17,B3,182,Control,Red,537.494815
07/07/17,B3,43,Deep,Red,585.485395
07/07/17,B3,43,Deep,Red,538.52832
07/07/17,B3,43,Deep,Red,561.89452
07/07/17,B3,26,Shallow,Red,453.24169
07/07/17,B3,26,Shallow,Red,427.71861
07/07/17,B3,26,Shallow,Red,417.158885
07/07/17,B3,7,Shade,Red,491.43644
07/07/17,B3,7,Shade,Red,429.87549
07/07/17,B3,7,Shade,Red,379.18881
07/07/17,B4,1,Control,Red,605.48147
07/07/17,B4,1,Control,Red,551.64934
07/07/17,B4,1,Control,Red,517.903155
07/07/17,B4,114,Deep,Red,291.56556
07/07/17,B4,114,Deep,Red,327.06421
07/07/17,B4,114,Deep,Red,283.11778
07/07/17,B4,19,Shallow,Red,277.3661
07/07/17,B4,19,Shallow,Red,366.69688
07/07/17,B4,19,Shallow,Red,327.109145
07/07/17,B4,2,Shade,Red,384.536075
07/07/17,B4,2,Shade,Red,428.302765
07/07/17,B4,2,Shade,Red,497.36786
07/07/17,B5,8,Control,Red,523.744705
07/07/17,B5,8,Control,Red,445.018585
07/07/17,B5,8,Control,Red,469.463225
07/07/17,B5,176,Deep,Red,347.4647
07/07/17,B5,176,Deep,Red,335.96134
07/07/17,B5,176,Deep,Red,325.71616
07/07/17,B5,198,Shallow,Red,260.335735
07/07/17,B5,198,Shallow,Red,310.34839
07/07/17,B5,198,Shallow,Red,330.20966
07/07/17,B5,158,Shade,Red,434.503795
07/07/17,B5,158,Shade,Red,509.275635
07/07/17,B5,158,Shade,Red,462.40843
07/07/17,B6,13,Control,Red,229.629468
07/07/17,B6,13,Control,Red,209.705178
07/07/17,B6,13,Control,Red,256.170126
07/07/17,B6,200,Deep,Red,243.651657
07/07/17,B6,200,Deep,Red,183.803601
07/07/17,B6,200,Deep,Red,247.786887
07/07/17,B6,166,Shallow,Red,167.939355
07/07/17,B6,166,Shallow,Red,259.365531
07/07/17,B6,166,Shallow,Red,265.981899
07/07/17,B6,65,Shade,Red,229.40391
